//=====================================
// Sword
//=====================================
0
//------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
//		ItemIndex	Price1Days	Price7Days	Price30Days	ItemName
//------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
		0	560		840		1050	"Kris"
		1	320		480		600		"Short Sword"
		2	840		1260	1575	"Rapier"
		3	1480	2220	2775	"Katache"
		4	1080	1620	2025	"Scimitar"
		5	3080	4620	5775	"Blade"
		6	1800	2700	3375	"Gladius"
		7	2120	3180	3975	"Falchion"
		8	2600	3900	4875	"Serpent Sword"
		9	2840	4260	5325	"Sword of Salamander"
		10	3760	5640	7050	"Light Saber"
		11	4320	6480	8100	"Legendary Sword"
		12	5640	8460	10575	"Heliacal Sword"
		13	4000	6000	7500	"Double Blade"
		14	4880	7320	9150	"Lighting Sword"
		15	4960	7440	9300	"Giant Sword"
		16	6720	10080	12600	"Sword of Destruction"
		17	9760	14640	18300	"Dark Breaker"
		18	10360	15540	19425	"Thunder Blade"
		19	8440	12660	15825	"Divine Sword of Archangel"
		20	10040	15060	18825	"Knight Blade"
		21	10766	16149	20186	"Dark Reign Blade"
		22	11000	16500	20625	"Bone Blade"
		23	11574	17360	21700	"Explosion Blade"
		24	12600	18900	23625	"Daybreak"
		25	9523	14285	17856	"Sword Dancer"
		31	8722	13082	16353	"Rune Blade"
		32	4280	6420	8025	"Sacred Glove"
		33	6680	10020	12525	"Storm Hard Glove"
		34	8120	12180	15225	"Piercing Blade Glove"
		35	10880	16320	20400	"Phoenix Soul Star"
end
//=====================================
// Axe
//=====================================
1
//------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
//		ItemIndex	Price1Days	Price7Days	Price30Days	ItemName
//------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
		0	160		240		300		"Small Axe"
		1	400		600		750		"Hand Axe"
		2	1320	1980	2475	"Double Axe"
		3	1640	2460	3075	"Tomahawk"
		4	2320	3480	4350	"Elven Axe"
		5	2800	4200	5250	"Battle Axe"
		6	3120	4680	5850	"Nikkea Axe"
		7	4240	6360	7950	"Larkan Axe"
		8	5320	7980	9975	"Crescent Axe"
end
//=====================================
// Mace
//=====================================
2
//------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
//		ItemIndex	Price1Days	Price7Days	Price30Days	ItemName
//------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	
		0	680		1020	1275		"Mace"
		1	1200	1800	2250	"Morning Star"
		2	1960	2940	3675	"Flail"
		3	3520	5280	6600	"Great Hammer"
		4	6320	9480	11850	"Crystal Morning Star"
		5	7040	10560	13200	"Crystal Sword"
		6	7640	11460	14325	"Chaos Dragon Axe"
		7	6440	9660	12075	"Elemental Mace"
		8	4001	6002	7502	"Battle Scepter"
		9	5368	8052	10065	"Master Scepter"
		10	6454	9681	12101	"Great Scepter"
		11	7781	11671	14589	"Lord Scepter"
		12	10187	15280	19100	"Great Lord Scepter"
		13	11271	16907	21134	"Divine Scepter of Archangel"
		14	11514	17270	21588	"Solay Scepter"
		15	8624	12936	16170	"Shining Scepter"
		16	9880	14820	18525	"Frost mace"
		18	10628	15942	19928	"Stryker Scepter"
end
//=====================================
// Spear
//=====================================
3
//------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
//		ItemIndex	Price1Days	Price7Days	Price30Days	ItemName
//------------------------------------------------------------------------------------------------------------------------------------------------------------------------------		
		0	3920	5880	7350	"Light Spear"
		1	2320	3480	4350	"Spear"
		2	1680	2520	3150	"Dragon Lance"
		3	2720	4080	5100	"Giant Trident"
		4	4600	6900	8625	"Serpent Spear"
		5	1520	2280	2850	"Double Poleaxe"
		6	1960	2940	3675	"Halberd"
		7	3400	5100	6375	"Berdysh"
		8	5400	8100	10125	"Great Scythe"
		9	6080	9120	11400	"Bill of Balrog"
		10	8720	13080	16350	"Dragon Spear"
		11	14200	21300	26625	"Beuroba"
end	
//=====================================
// Bow - Crossbow
//=====================================
4
//------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
//		ItemIndex	Price1Days	Price7Days	Price30Days	ItemName
//------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
		0	240		360		450		"Short Bow"
		1	760		1140	1425	"Bow"
		2	1440	2160	2700	"Elven Bow"
		3	2320	3480	4350	"Battle Bow"
		4	3480	5220	6525	"Tiger Bow"
		5	4840	7260	9075	"Silver Bow"
