//|================================================================|
//| Zythe CashShop Editor                                          |
//| Credit: Zyth3/louis                          [skype:tec-facil] |
//|================================================================|
//Cat	ID	Main	Item	Coin	Price	Bonus	PBase1	PBase2	PBase3	PBase4	PBase5	PBase6	PBase7	PBase8	PBase9	PBase10	PMain1	PMain2	PMain3	PMain4	PMain5	PMain6	PMain7	PMain8	PMain9	PMain10	Comment
0	504	504	1	509	3000	0	5040	0	0	0	0	0	0	0	0	0	5040	0	0	0	0	0	0	0	0	0	// Wings of Spirits
0	505	505	1	509	3000	0	5050	0	0	0	0	0	0	0	0	0	5050	0	0	0	0	0	0	0	0	0	// Wings of Soul
0	506	506	1	509	3000	0	5060	0	0	0	0	0	0	0	0	0	5060	0	0	0	0	0	0	0	0	0	// Wings of Dragon
0	507	507	1	509	3000	0	5070	0	0	0	0	0	0	0	0	0	5070	0	0	0	0	0	0	0	0	0	// Wings of Darkness
0	508	508	1	509	3000	0	5080	0	0	0	0	0	0	0	0	0	5080	0	0	0	0	0	0	0	0	0	// Wind of Despair
0	509	509	1	509	3000	0	5090	0	0	0	0	0	0	0	0	0	5090	0	0	0	0	0	0	0	0	0	// Cloak of Warrior
0	510	510	1	509	3000	0	5100	0	0	0	0	0	0	0	0	0	5100	0	0	0	0	0	0	0	0	0	// Cape of Lord
0	511	511	1	509	5000	0	5110	0	0	0	0	0	0	0	0	0	5110	0	0	0	0	0	0	0	0	0	// Wing of Storm
0	512	512	1	509	5000	0	5120	0	0	0	0	0	0	0	0	0	5120	0	0	0	0	0	0	0	0	0	// Wing of Eternal
0	513	513	1	509	5000	0	5130	0	0	0	0	0	0	0	0	0	5130	0	0	0	0	0	0	0	0	0	// Wing of Illusion
0	514	514	1	509	5000	0	5140	0	0	0	0	0	0	0	0	0	5140	0	0	0	0	0	0	0	0	0	// Wing of Ruin
0	515	515	1	509	5000	0	5150	0	0	0	0	0	0	0	0	0	5150	0	0	0	0	0	0	0	0	0	// Cape of Emperor
0	516	516	1	509	5000	0	5160	0	0	0	0	0	0	0	0	0	5160	0	0	0	0	0	0	0	0	0	// Wing of Dimension
0	517	517	1	509	5000	0	5170	0	0	0	0	0	0	0	0	0	5170	0	0	0	0	0	0	0	0	0	// Lord of the Cape
31	100	100	1	508	2000	0	1000	0	0	0	0	0	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	// Kris
31	101	101	1	508	2000	0	1010	0	0	0	0	0	0	0	0	0	1010	0	0	0	0	0	0	0	0	0	// Short Sword
31	102	102	1	508	2000	0	1020	0	0	0	0	0	0	0	0	0	1020	0	0	0	0	0	0	0	0	0	// Rapier
31	103	103	1	508	2000	0	1030	0	0	0	0	0	0	0	0	0	1030	0	0	0	0	0	0	0	0	0	// Katana
31	104	104	1	508	3000	0	1040	0	0	0	0	0	0	0	0	0	1040	0	0	0	0	0	0	0	0	0	// Sword Dancer
31	105	105	1	508	4000	0	1050	0	0	0	0	0	0	0	0	0	1050	0	0	0	0	0	0	0	0	0	// Flameberge
31	106	106	1	508	4000	0	1060	0	0	0	0	0	0	0	0	0	1060	0	0	0	0	0	0	0	0	0	// Sword Breaker
31	107	107	1	508	4000	0	1070	0	0	0	0	0	0	0	0	0	1070	0	0	0	0	0	0	0	0	0	// Rune Bastard Sword
31	108	108	1	508	4000	0	1080	0	0	0	0	0	0	0	0	0	1080	0	0	0	0	0	0	0	0	0	// Rune Blade
31	109	109	1	508	4000	0	1090	0	0	0	0	0	0	0	0	0	1090	0	0	0	0	0	0	0	0	0	// Sacred Glove
31	110	110	1	508	4000	0	1100	0	0	0	0	0	0	0	0	0	1100	0	0	0	0	0	0	0	0	0	// Holly Storm Claws
31	111	111	1	508	4000	0	1110	0	0	0	0	0	0	0	0	0	1110	0	0	0	0	0	0	0	0	0	// Phoenix Soul Star
31	112	112	1	508	2000	0	1120	0	0	0	0	0	0	0	0	0	1120	0	0	0	0	0	0	0	0	0	// Sword of Assassin
31	113	113	1	508	2000	0	1130	0	0	0	0	0	0	0	0	0	1130	0	0	0	0	0	0	0	0	0	// Blade
31	114	114	1	508	2000	0	1140	0	0	0	0	0	0	0	0	0	1140	0	0	0	0	0	0	0	0	0	// Gladius
31	115	115	1	508	2000	0	1150	0	0	0	0	0	0	0	0	0	1150	0	0	0	0	0	0	0	0	0	// Falchion
31	116	116	1	508	4000	0	1160	0	0	0	0	0	0	0	0	0	1160	0	0	0	0	0	0	0	0	0	// Piercing Glove
31	117	117	1	508	4000	0	1170	0	0	0	0	0	0	0	0	0	1170	0	0	0	0	0	0	0	0	0	// Light Spear
31	118	118	1	508	4000	0	1180	0	0	0	0	0	0	0	0	0	1180	0	0	0	0	0	0	0	0	0	// Spear
31	119	119	1	508	2000	0	1190	0	0	0	0	0	0	0	0	0	1190	0	0	0	0	0	0	0	0	0	// Serpent Sword
31	120	120	1	508	2000	0	1200	0	0	0	0	0	0	0	0	0	1200	0	0	0	0	0	0	0	0	0	// Sword of Salamander
31	121	121	1	508	2000	0	1210	0	0	0	0	0	0	0	0	0	1210	0	0	0	0	0	0	0	0	0	// Light Saber
31	122	122	1	508	2000	0	1220	0	0	0	0	0	0	0	0	0	1220	0	0	0	0	0	0	0	0	0	// Legendary Sword
31	123	123	1	508	2000	0	1230	0	0	0	0	0	0	0	0	0	1230	0	0	0	0	0	0	0	0	0	// Heliacal Sword
31	124	124	1	508	2000	0	1240	0	0	0	0	0	0	0	0	0	1240	0	0	0	0	0	0	0	0	0	// Double Blade
31	125	125	1	508	3000	0	1250	0	0	0	0	0	0	0	0	0	1250	0	0	0	0	0	0	0	0	0	// Lighting Sword
31	126	126	1	508	2000	0	1260	0	0	0	0	0	0	0	0	0	1260	0	0	0	0	0	0	0	0	0	// Giant Sword
31	127	127	1	508	2000	0	1270	0	0	0	0	0	0	0	0	0	1270	0	0	0	0	0	0	0	0	0	// Sword of Destruction
31	128	128	1	508	2000	0	1280	0	0	0	0	0	0	0	0	0	1280	0	0	0	0	0	0	0	0	0	// Dark Breaker
31	129	129	1	508	2000	0	1290	0	0	0	0	0	0	0	0	0	1290	0	0	0	0	0	0	0	0	0	// Thunder Blade
31	130	130	1	508	3000	0	1300	0	0	0	0	0	0	0	0	0	1300	0	0	0	0	0	0	0	0	0	// Divine Sword of Archangel
31	131	131	1	508	3000	0	1310	0	0	0	0	0	0	0	0	0	1310	0	0	0	0	0	0	0	0	0	// Knight Blade
31	132	132	1	508	3000	0	1320	0	0	0	0	0	0	0	0	0	1320	0	0	0	0	0	0	0	0	0	// Dark Reign Blade
31	133	133	1	508	3000	0	1330	0	0	0	0	0	0	0	0	0	1330	0	0	0	0	0	0	0	0	0	// Bone Blade
31	134	134	1	508	3000	0	1340	0	0	0	0	0	0	0	0	0	1340	0	0	0	0	0	0	0	0	0	// Explosion Blade
31	135	135	1	508	3000	0	1350	0	0	0	0	0	0	0	0	0	1350	0	0	0	0	0	0	0	0	0	// Daybreak
31	136	136	1	508	4000	0	1360	0	0	0	0	0	0	0	0	0	1360	0	0	0	0	0	0	0	0	0	// Dragon Lance
31	137	137	1	508	4000	0	1370	0	0	0	0	0	0	0	0	0	1370	0	0	0	0	0	0	0	0	0	// Giant Trident
31	138	138	1	508	4000	0	1380	0	0	0	0	0	0	0	0	0	1380	0	0	0	0	0	0	0	0	0	// Serpent Spear
31	139	139	1	508	4000	0	1390	0	0	0	0	0	0	0	0	0	1390	0	0	0	0	0	0	0	0	0	// Double Poleaxe
31	140	140	1	508	4000	0	1400	0	0	0	0	0	0	0	0	0	1400	0	0	0	0	0	0	0	0	0	// Halberd
31	141	141	1	508	4000	0	1410	0	0	0	0	0	0	0	0	0	1410	0	0	0	0	0	0	0	0	0	// Berdysh
31	142	142	1	508	4000	0	1420	0	0	0	0	0	0	0	0	0	1420	0	0	0	0	0	0	0	0	0	// Great Scythe
31	143	143	1	508	4000	0	1430	0	0	0	0	0	0	0	0	0	1430	0	0	0	0	0	0	0	0	0	// Bill of Balrog
31	144	144	1	508	4000	0	1440	0	0	0	0	0	0	0	0	0	1440	0	0	0	0	0	0	0	0	0	// Dragon Spear
31	145	145	1	508	15000	0	1450	0	0	0	0	0	0	0	0	0	1450	0	0	0	0	0	0	0	0	0	// Beurova
32	168	168	1	508	2000	0	1680	0	0	0	0	0	0	0	0	0	1680	0	0	0	0	0	0	0	0	0	// Bronze Helm
32	169	169	1	508	2000	0	1690	0	0	0	0	0	0	0	0	0	1690	0	0	0	0	0	0	0	0	0	// Dragon Helm
32	170	170	1	508	2000	0	1700	0	0	0	0	0	0	0	0	0	1700	0	0	0	0	0	0	0	0	0	// Pad Helm
32	171	171	1	508	2000	0	1710	0	0	0	0	0	0	0	0	0	1710	0	0	0	0	0	0	0	0	0	// Legendary Helm
32	172	172	1	508	2000	0	1720	0	0	0	0	0	0	0	0	0	1720	0	0	0	0	0	0	0	0	0	// Bone Helm
32	173	173	1	508	2000	0	1730	0	0	0	0	0	0	0	0	0	1730	0	0	0	0	0	0	0	0	0	// Leather Helm
