//|================================================================|
//| Zythe CashShop Editor                                          |
//| Credit: Zyth3/louis                          [skype:tec-facil] |
//|================================================================|
//ID	Number	Value	Item	Level	Skill	Luck	Option	ExOpt	AncOp	JOH	Oexe	Socket1	Socket2	Socket3	Socket4	Socket5	Qtd	Duration	Comment
0	0	9000	4327	15	1	1	7	63	0	0	0	254	254	254	254	254	255	0	// Water Phoenix Soul Armor (1 UN)
1000	1000	2000	0	15	1	1	7	63	0	0	0	254	254	254	254	254	255	0	// Kris (1 UN)
1010	1010	2000	1	15	1	1	7	63	0	0	0	254	254	254	254	254	255	0	// Short Sword (1 UN)
1020	1020	2000	2	15	1	1	7	63	0	0	0	254	254	254	254	254	255	0	// Rapier (1 UN)
1030	1030	2000	3	15	1	1	7	63	0	0	0	254	254	254	254	254	255	0	// Katana (1 UN)
1040	1040	3000	25	15	1	1	0	63	0	0	0	255	255	255	255	255	255	0	// Sword Dancer (1 UN)
1050	1050	4000	26	15	1	1	0	63	0	0	0	255	255	255	255	255	255	0	// Flameberge (1 UN)
1060	1060	4000	27	15	1	1	0	63	0	0	0	255	255	255	255	255	255	0	// Sword Breaker (1 UN)
1070	1070	4000	28	15	1	1	0	63	0	0	0	255	255	255	255	255	255	0	// Rune Bastard Sword (1 UN)
1080	1080	4000	31	15	1	1	0	63	0	0	0	255	255	255	255	255	255	0	// Rune Blade (1 UN)
1090	1090	4000	32	15	1	1	0	63	0	0	0	255	255	255	255	255	255	0	// Sacred Glove (1 UN)
1100	1100	4000	33	15	1	1	0	63	0	0	0	255	255	255	255	255	255	0	// Holly Storm Claws (1 UN)
1110	1110	4000	35	15	1	1	0	63	0	0	0	255	255	255	255	255	255	0	// Phoenix Soul Star (1 UN)
1120	1120	2000	4	15	1	1	7	63	0	0	0	254	254	254	254	254	255	0	// Sword of Assassin (1 UN)
1130	1130	2000	5	15	1	1	7	63	0	0	0	254	254	254	254	254	255	0	// Blade (1 UN)
1140	1140	2000	6	15	1	1	7	63	0	0	0	254	254	254	254	254	255	0	// Gladius (1 UN)
1150	1150	2000	7	15	1	1	7	63	0	0	0	254	254	254	254	254	255	0	// Falchion (1 UN)
1160	1160	4000	34	15	1	1	0	63	0	0	0	255	255	255	255	255	255	0	// Piercing Glove (1 UN)
1170	1170	4000	1536	15	1	1	0	63	0	0	0	255	255	255	255	255	255	0	// Light Spear (1 UN)
1180	1180	4000	1537	15	1	1	0	63	0	0	0	255	255	255	255	255	255	0	// Spear (1 UN)
1190	1190	2000	8	15	1	1	7	63	0	0	0	254	254	254	254	254	255	0	// Serpent Sword (1 UN)
1200	1200	2000	9	15	1	1	7	63	0	0	0	254	254	254	254	254	255	0	// Sword of Salamander (1 UN)
1210	1210	2000	10	15	1	1	7	63	0	0	0	254	254	254	254	254	255	0	// Light Saber (1 UN)
1220	1220	2000	11	15	1	1	7	63	0	0	0	254	254	254	254	254	255	0	// Legendary Sword (1 UN)
1230	1230	2000	12	15	1	1	7	63	0	0	0	254	254	254	254	254	255	0	// Heliacal Sword (1 UN)
1240	1240	2000	13	15	1	1	0	63	0	0	0	254	254	254	254	254	255	0	// Double Blade (1 UN)
1250	1250	3000	14	15	1	1	0	63	5	0	0	254	254	254	254	254	255	0	// Lighting Sword (1 UN)
