//=================================================================================================================
//-- Definições do Ranking
//=================================================================================================================
//  RankIndex ->  Index do Ranking
//  Name      ->  Titulo do Rank
//  ResetMin  ->  Minimo de Resets para determinado Rank
//  ResetMin  ->  Maximo de Resets para determinado Rank
//  Cash      ->  Premiação em Cash ao antigir a patente
//  Gold      ->  Premiação em Gold ao antigir a patente
//  PcPoint   ->  Premiação em PcPoint ao antigir a patente
//=================================================================================================================
//-- Obs: Obrigatorio o Ultimo Rank o ResetMax ter o valor (-1)
//=================================================================================================================

//=================================================================================================================
//     #RankIndex          #Name            #ResetMin        #ResetMax       #Cash      #Gold     #PcPoint		 
//=================================================================================================================
0
            0            "Novato"             0                50               0          0           0		
            1            "Aprendis"           51               100              2          0           0	
            2            "Mensajero"         101              150              2          0           0	
            3            "Cazador"            151              200              2          0           0	
            4            "Asesino"           201              250              2          0           0	
            5            "Arquero"           251              300              2          0           0	
            6            "Lancero"           301              350              2          0           0	
            7            "Caballero"          351              400              2          0           0	
            8            "Soldado"            401              450              2          0           0	
            9            "Mago"               451              500              2          0           0	
            10           "Guerrero"          501              550              2          0           0	
            11           "Gladiador"          551              600              2          0           0	
            12           "General"            601              650              2          0           0	
            13           "Batlle Master"      651              700              2          0           0	
            14           "Libertador"         701              750              2          0           0	
            15           "Lord"               751              800              2          0           0	
            16           "Pro"               801              850              2          0           0	
            17           "SemiDios"           851              900              2          0           0	
            18           "Inmortal"            901              950              2          0           0	
            19           "Alpha"              951              1000             2          0           0	
            20           "Heroe"              1001             1100             2          0           0	
            21           "Supremo"            1101             -1               2          0           0
end
