//Index   NonPK   ViewRange   ExperienceRate   ItemDropRate   ExcItemDropRate   SetItemDropRate   SocketItemDrop   HelperEnable   GensBattle      NonCustomAttack   Comment
0         *       12          100              100            1000              0                 0                1              0                 0            "Lorencia"
1         *       12          100              100            1000              0                 0                1              0                 0            "Dungeon"
2         *       12          100              100            1000              0                 0                1              0                 0            "Devias"
3         *       12          100              100            1000              0                 0                1              0                 0            "Noria"
4         *       12          100              100            1000              0                 0                1              0                 0            "Lost Tower"
6         *       10          100              100            1000              0                 0                1              0                 0            "Arena"
7         *       12          100              100            1000              0                 0                1              0                 0            "Atlans"
8         *       12          100              100            1000              0                 0                1              0                 0            "Tarkan"
9         *       10          100              100            1000              0                 0                1              0                 1            "Devil Square 1"
10        *       12          100              100            1000              0                 0                1              0                 0            "Icarus"
11        *       10          100              100            1000              0                 0                1              0                 1            "Blood Castle 1"
12        *       10          100              100            1000              0                 0                1              0                 1            "Blood Castle 2"
13        *       10          100              100            1000              0                 0                1              0                 1            "Blood Castle 3"
14        *       10          100              100            1000              0                 0                1              0                 1            "Blood Castle 4"
15        *       10          100              100            1000              0                 0                1              0                 1            "Blood Castle 5"
16        *       10          100              100            1000              0                 0                1              0                 1            "Blood Castle 6"
17        *       10          100              100            1000              0                 0                1              0                 1            "Blood Castle 7"
18        *       10          100              100            1000              0                 0                0              0                 1            "Chaos Castle 1"
19        *       10          100              100            1000              0                 0                0              0                 1            "Chaos Castle 2"
20        *       10          100              100            1000              0                 0                0              0                 1            "Chaos Castle 3"
21        *       10          100              100            1000              0                 0                0              0                 1            "Chaos Castle 4"
22        *       10          100              100            1000              0                 0                0              0                 1            "Chaos Castle 5"
23        *       10          100              100            1000              0                 0                0              0                 1            "Chaos Castle 6"
24        *       12          100              100            1000              0                 0                1              0                 0            "Kalima 1"
25        *       12          100              100            1000              0                 0                1              0                 0            "Kalima 2"
26        *       12          100              100            1000              0                 0                1              0                 0            "Kalima 3"
27        *       12          100              100            1000              0                 0                1              0                 0            "Kalima 4"
28        *       12          100              100            1000              0                 0                1              0                 0            "Kalima 5"
29        *       12          100              100            1000              0                 0                1              0                 0            "Kalima 6"
30        *       10          100              100            1000              0                 0                1              0                 1            "Castle Siege"
