//Section   Type   Level   Dur   Skill   Luck   Option   Excellent
7           5      0       0     0       1      1        0
8           5      0       0     0       1      1        0
9           5      0       0     0       1      1        0
10          5      0       0     0       1      1        0
11          5      0       0     0       1      1        0
7           0      2       0     0       1      1        0
8           0      2       0     0       1      1        0
9           0      2       0     0       1      1        0
10          0      2       0     0       1      1        0
11          0      2       0     0       1      1        0
end
