//Index		Message
0         "Blood Castle will close in %d minute(s)"
1         "Blood Castle closed"
2         "Blood Castle %d will start in %d minute(s)"
3         "Blood Castle started"
4         "All monsters have been defeated"
5         "All boss monsters have been defeated"
6         "Blood Castle ended"
7         "You're not strong enough to enter Blood Castle"
8         "Player %s dropped weapon Angel"
9         "Player %s took angel's weapon"
10        "Player %s destroyed castle gate"
11        "Player %s destroyed statue"
16        "Chaos Castle will close in %d minute(s)"
17        "Chaos Castle closed"
18        "Chaos Castle %d will start in %d minute(s)"
19        "Chaos Castle started"
20        "Chaos Castle ended"
32        "User Normal"
33        "User Bronze"
34        "User Zilver"
35        "User Gold"
36        " "
37        " "
38        " "
39        " "
40        " "
41        " "
42        " "
43        " "
44        " "
45        " "
46        " "
47        " "
48        " "
49        " "
50        " "
51        " "
52        " "
53        " "
54        " "
55        " "
56        " "
57        " "
58        " "
64        "You do not have permission to use /post"
65        "You must be at least level %d to use /post"
66        "You must be at least %d resets to use /post"
67        "You must be at least %d Zen to use /post"
68        "You have to wait %d seconds to use /post"
69        "[POST]:%s"
70        "You do not have permission to use /add"
71        "Exclusive Command Dark Lord"
72        "You do not have enough points to add"
73        "You must have at least %d Zen to use /add"
74        "You added %d points, remaining %d points to be distributed"
75        "You do not have permission to use /pkclear"
76        "You're not PK"
77        "You must have at least %d Zen to use /pkclear"
78        "You cleared your PK"
79        "You do not have permission to use /money"
80        "You entered an invalid value to add"
81        "You do not have permission to use /change"
82        "You must have at least %d Zen to use /change"
83        "You earn last character profession"
84        "Profession successfully upgraded"
85        "You do not have permission to use /ware"
86        "You can not use /ware at moment"
87        "You have entered an invalid chest to change"
88        "You moved to chest %d successfully"
89        "You do not have permission to use /reset"
90        "You can not use /reset at time"
91        "You must be at least level %d to use /reset"
92        "You must have at least %d Zen to use /reset"
93        "You can not have more than %d resets"
94        "You can not reset with items equipped"
95        "You successfully reseted, and now have %d resets"
96        "You do not have permission to use /gmmove"
97        "You have entered an invalid target for /gmmove"
98        "You do not have permission to use /gmpost"
99        "You do not have permission to use /track"
100       "You have entered an invalid target for /track"
101       "You do not have permission to use /trace"
102       "You have entered an invalid target for /trace"
103       "You do not have permission to use /disconnect"
104       "You have entered an invalid target for /disconnect"
105       "You do not have permission to use /fireworks"
106       "You do not have permission to use /make"
107       "You successfully created item"
108       "You do not have permission to use /skin"
109       "You have entered an invalid target for /skin"
110       "You do not have permission to use /setmoney"
111       "You have entered an invalid target for /setmoney"
112       "You entered an invalid value for /setmoney"
113       "You do not have permission to use /notice"
114       "Automatic points add: On (%d)"
115       "Automatic points add: Off"
116       "Automatic reset: On"
117       "Automatic Reset: Off"
118       "You do not have permission to use /mreset"
119       "You can not use /mreset at time"
120       "You must have at least %d levels to use /mreset"
121       "You must have at least %d resets to use /mreset"
122       "You must have at least %d Zen to use /mreset"
123       "You can not have more than %d master resets"
124       "You can not reset master with items equipped"
125       "Master successfully reseted, and now have %d master resets"
126       "Requests as received: Connected"
127       "Requests received: Off"
128       "Requests as received: Automatic"
129       "You can only reset %d times a day"
130       "You can only reset %d times a week"
131       "You can only reset %d times a month"
132       "You can only reset master %d times a day"
133       "You can only reset master %d times a week"
134       "You can only reset master %d times a month"
135       "You do not have permission to use /hide"
144       "Devil Square will close in %d minute(s)"
145       "Devil Square closed"
146       "Devil Square %d will start in %d minute(s)"
147       "Devil Square began"
148       "Devil Square ended"
149       "You're not strong enough to join Devil Square"
160       "Target player is not online"
161       "You can not duel at this time"
162       "Target player refused his duel application automatically"
163       "Have you ever asked or been asked to duel"
164       "Target player ever asked or been asked to duel"
165       "You can not duel being in Guild War"
166       "Target player can not duel in Guild War"
167       "You can not duel in this map"
168       "You can not duel during Castle Siege"
169       "Target player name is invalid"
170       "You can not duel with Self Defense"
171       "Player can not target duel Self Defense"
172       "Target player refused his request duel"
173       "All arenas are full at moment"
174       "Duel between %s and %s started!"
175       "Player %s won %s duel!"
176       "Illusion Temple will close in %d minute(s)"
177       "Illusion Temple closed"
178       "Illusion Temple %d will start in %d minute(s)"
179       "Illusion Temple started"
180       "Illusion Temple finished"
181       "You're not strong enough to enter Illusion Temple"
182       "You do not have required item to enter Illusion Temple"
183       "player %s dropped artifact"
184       "player %s picked up artifact"
192       "Skeleton King invasion has begun!"
193       "Invasion of Red Dragon started!"
194       "Invasion of Dourados started!"
195       "Invasion of White Wizard started!"
196       "New Year invasion has begun!"
197       "Invasion of rabbits started!"
198       "Invasion of summer started!"
199       "Christmas invasion has begun!"
200       "Invasion of Medusa began!"
202       "Player %s defeated Skeleton King!"
203       "Player %s defeated Red Dragon!"
204       "Player %s defeated Golden Great Dragon!"
205       "Player %s defeated White Wizard!"
206       "Player %s defeated Cursed Santa!"
207       "Player %s defeated Medusa!"
208       "Merchant Moss appeared!"
209       "Merchant Moss left!"
210       "Invasion of invoking Demons started!"
211       "Invasion of eggs Event started!"
224       "You must be at least level %d to move"
225       "You must be at least %d zen to move"
226       "You can not move at this time time"
227       "Assassins can not move"
228       "You do not have correct equipment to move"
229       "Only members of families of gens can move"
230       "You need to be max level %d to move"
231       "You must be at least %d resets to move"
232       "You need to have a maximum of %d resets to move"
240       "Senior is not currently active"
241       "Senior does not work during Castle Siege"
242       "You have to be in guild owner of castle to use Senior"
243       "You must be owner of guild to use Senior"
244       "Guardsman does not work during Castle Siege"
245       "You are already in a guild"
246       "You do not have enough level to create a guild"
247       "Shop is empty"
248       "/ACCOUNT/ Normal"
249       "/ACCOUNT/ Bronze (%s)"
250       "/ACCOUNT/ Silver (%s)"
251       "/ACCOUNT/ Gold (%s)"
256       "%s - Nice too see you again!"
257       "You must be at least level 40 to use ring"
258       "You must be at least level 80 to use ring"
259       "You can not move to this map at time"
260       "You can not pick up this item at this time"
261       "You can not leave game with an open Trade"
262       "You can not leave game with an open Chest"
263       "You can not leave game with Chaos Machine open"
264       "You can not leave game with an open Trainer"
265       "You can not quit game being in Self Defense"
266       "You're at maximum level"
267       "You're at maximum level master"
268       "You can only add %d points"
269       "You can not talk during %d seconds"
270       "You can not send message to yourself"
271       "Hello, I am cheerful guard"
272       "It was not possible to carry out teleportation"
273       "You will be teleported in %d second(s)"
274       "You can not move this map with mount"
275       "You can not move to this map without wing"
276       "Gift CashShop"
304       "Ice Walker appeared!"
305       "You're not strong enough to get in Double Goer"
306       "Ice Walker was defeated!"
320       "Selupan appeared! Gate of Hatchery will close in %d minute(s)"
321       "Hatchery gate closed"
322       "Player %s defeated Selupan!"
323       "Gate of Hatchery will open again in %d minute(s)"
324       "Gate of Hatchery opened!"
325       "Hatchery gate is closed"
336       "Refinement Tower will close in 60 minute(s)"
337       "Refinement Tower will close in 20 minute(s)"
338       "Kanturu door will open in 1 minute(s)"
339       "Battle against Maya will start soon, get ready"
340       "Next battle will begin in 1 minute(s)"
341       "Nightmare appeared! Defeat him to release Refinement Tower"
342       "Nightmare was defeated! Refinement Tower has been released"
343       "Time is up, you will be removed from event"
352       "Castle Deep will start in 5 minute(s)"
353       "Castle Deep started"
354       "Castle Deep ended"
355       "Erohim player was killed by %s"
356       "%s killed by player %s"
368       "Balgass joined forces with army of Kundun and is preparing to attack fortress of Crywolf"
369       "Armada of Balgass is ready to attack fortress of Crywolf"
370       "Armada of Balgass is marching to fortress of Crywolf"
371       "Armada of Balgass is approaching fortress Crywolf"
372       "No Elfa has connected to altars, leaving statue of unprotected wolf"
373       "Balgass will be alive by end of battle"
374       "Defense failed! statue of sacred wolf was taken by Balgass"
375       "Defense was successful! statue of sacred wolf was protected"
376       "Connection period with Wolf Altars starts in %d second(s)"
377       "Connection period with Wolf Altars starts in %d minute(s)"
378       "Armada of Balgass will attack in %d second(s)"
379       "Armada of Balgass will attack in %d minute(s)"
